atom,orbital,r_bohr,R
Ar,1s,0.000111818562396,148.068200567
Ar,1s,0.000112529375688,148.067808011
Ar,1s,0.00011324470751,148.067410491
Ar,1s,0.000113964586587,148.067007944
Ar,1s,0.000114689041823,148.066600308
Ar,1s,0.000115418102308,148.066187519
Ar,1s,0.000116151797319,148.065769511
Ar,1s,0.000116890156315,148.065346221
Ar,1s,0.000117633208944,148.064917581
Ar,1s,0.000118380985045,148.064483525
Ar,1s,0.000119133514642,148.064043984
Ar,1s,0.000119890827954,148.063598891
Ar,1s,0.000120652955389,148.063148176
Ar,1s,0.00012141992755,148.062691768
Ar,1s,0.000122191775234,148.062229596
Ar,1s,0.000122968529435,148.061761589
Ar,1s,0.000123750221342,148.061287673
Ar,1s,0.000124536882343,148.060807774
Ar,1s,0.000125328544026,148.060321818
Ar,1s,0.000126125238181,148.059829729
Ar,1s,0.000126926996797,148.059331431
Ar,1s,0.000127733852068,148.058826846
Ar,1s,0.000128545836393,148.058315895
Ar,1s,0.000129362982377,148.0577985
Ar,1s,0.000130185322831,148.05727458
Ar,1s,0.000131012890777,148.056744053
Ar,1s,0.000131845719443,148.056206837
Ar,1s,0.000132683842273,148.055662849
Ar,1s,0.00013352729292,148.055112005
Ar,1s,0.000134376105251,148.054554219
Ar,1s,0.000135230313352,148.053989404
Ar,1s,0.000136089951521,148.053417474
Ar,1s,0.000136955054277,148.052838339
Ar,1s,0.000137825656357,148.052251911
Ar,1s,0.00013870179272,148.051658098
Ar,1s,0.000139583498547,148.051056809
Ar,1s,0.00014047080924,148.050447951
Ar,1s,0.000141363760431,148.049831429
Ar,1s,0.000142262387973,148.049207149
Ar,1s,0.000143166727952,148.048575015
Ar,1s,0.000144076816681,148.047934929
Ar,1s,0.000144992690702,148.047286792
Ar,1s,0.000145914386793,148.046630504
Ar,1s,0.000146841941963,148.045965965
Ar,1s,0.000147775393458,148.045293073
Ar,1s,0.00014871477876,148.044611723
Ar,1s,0.000149660135588,148.043921812
Ar,1s,0.000150611501904,148.043223233
Ar,1s,0.000151568915907,148.042515878
Ar,1s,0.000152532416044,148.041799641
Ar,1s,0.000153502041002,148.04107441
Ar,1s,0.000154477829715,148.040340075
Ar,1s,0.000155459821367,148.039596523
Ar,1s,0.000156448055387,148.038843641
Ar,1s,0.000157442571458,148.038081313
Ar,1s,0.000158443409513,148.037309423
Ar,1s,0.000159450609742,148.036527852
Ar,1s,0.000160464212586,148.035736483
Ar,1s,0.000161484258746,148.034935193
Ar,1s,0.000162510789183,148.034123862
Ar,1s,0.000163543845114,148.033302365
Ar,1s,0.000164583468022,148.032470576
Ar,1s,0.000165629699651,148.031628371
Ar,1s,0.000166682582014,148.030775621
Ar,1s,0.000167742157386,148.029912195
Ar,1s,0.000168808468315,148.029037964
Ar,1s,0.000169881557618,148.028152795
Ar,1s,0.000170961468383,148.027256552
Ar,1s,0.000172048243974,148.026349102
Ar,1s,0.000173141928029,148.025430306
Ar,1s,0.000174242564464,148.024500025
Ar,1s,0.000175350197475,148.02355812
Ar,1s,0.000176464871537,148.022604447
Ar,1s,0.000177586631409,148.021638863
Ar,1s,0.000178715522136,148.020661222
Ar,1s,0.000179851589046,148.019671377
Ar,1s,0.000180994877758,148.01866918
Ar,1s,0.000182145434179,148.017654478
Ar,1s,0.000183303304509,148.016627121
Ar,1s,0.000184468535242,148.015586954
Ar,1s,0.000185641173166,148.014533821
Ar,1s,0.000186821265367,148.013467563
Ar,1s,0.000188008859233,148.012388022
Ar,1s,0.000189204002448,148.011295036
Ar,1s,0.000190406743004,148.010188442
Ar,1s,0.000191617129196,148.009068074
Ar,1s,0.000192835209625,148.007933766
Ar,1s,0.000194061033203,148.006785348
Ar,1s,0.000195294649151,148.005622649
Ar,1s,0.000196536107006,148.004445497
Ar,1s,0.000197785456615,148.003253717
Ar,1s,0.000199042748147,148.002047132
Ar,1s,0.000200308032087,148.000825562
Ar,1s,0.00020158135924,147.999588828
Ar,1s,0.000202862780737,147.998336746
Ar,1s,0.000204152348033,147.997069131
Ar,1s,0.000205450112908,147.995785796
Ar,1s,0.000206756127473,147.994486551
Ar,1s,0.000208070444171,147.993171206
Ar,1s,0.000209393115776,147.991839567
Ar,1s,0.000210724195401,147.990491438
Ar,1s,0.000212063736492,147.989126621
Ar,1s,0.000213411792839,147.987744917
Ar,1s,0.000214768418571,147.986346122
Ar,1s,0.000216133668163,147.984930032
Ar,1s,0.000217507596436,147.983496441
Ar,1s,0.000218890258557,147.982045139
Ar,1s,0.000220281710048,147.980575915
Ar,1s,0.000221682006781,147.979088554
Ar,1s,0.000223091204983,147.977582841
Ar,1s,0.00022450936124,147.976058557
Ar,1s,0.000225936532497,147.974515481
Ar,1s,0.00022737277606,147.97295339
Ar,1s,0.000228818149602,147.971372058
Ar,1s,0.000230272711159,147.969771256
Ar,1s,0.000231736519139,147.968150754
Ar,1s,0.00023320963232,147.966510319
Ar,1s,0.000234692109853,147.964849713
Ar,1s,0.000236184011267,147.9631687
Ar,1s,0.000237685396467,147.961467039
Ar,1s,0.00023919632574,147.959744484
Ar,1s,0.000240716859757,147.958000791
Ar,1s,0.000242247059573,147.956235711
Ar,1s,0.000243786986632,147.954448992
Ar,1s,0.000245336702769,147.952640379
Ar,1s,0.000246896270212,147.950809616
Ar,1s,0.000248465751584,147.948956444
Ar,1s,0.000250045209906,147.9470806
Ar,1s,0.0002516347086,147.945181818
